radius,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48,lambda_49,lambda_50,lambda_51,lambda_52,lambda_53,lambda_54,lambda_55,lambda_56
9.000000000000000222e-01,5.315700821268298792e-02,1.057631496532964038e-01,1.022904072953897958e-01,1.008977007147110749e-01,9.961413077797616478e-02,9.555609982994718588e-02,9.237932340156707056e-02,8.836938321492784909e-02,8.406014343535990474e-02,7.575177740419568317e-02,6.860966721290429060e-02,6.217202956247778328e-02,5.129047492693630805e-02,3.627523231195209363e-02,5.889244156147322877e-05,4.394561592423607784e-07,5.809071391375119638e-08,1.895828858314876865e-08,8.767787717129391437e-09,4.861356790860846266e-09,2.970603265976812235e-09,1.979301963647706053e-09,1.405325557313208407e-09,1.012586799131742765e-09,7.699094174695719772e-10,6.284407369494537932e-10,5.290952068831566990e-10,4.590882682689589878e-10,4.012432879441779621e-10,3.570288025726148229e-10,3.206560975944905412e-10,2.902944207851818406e-10,2.646908634114375491e-10,2.425756312127418796e-10,2.245763361177223992e-10,2.091325520419719253e-10,1.955499600172583372e-10,1.834861647860628990e-10,1.727364700488699927e-10,1.631304793870791241e-10,1.545599599030839620e-10,1.469936781073755833e-10,1.406215258203480454e-10,1.345629345797516585e-10,1.292619965261704827e-10,1.243255374037022676e-10,1.197541147192685007e-10,1.155342203471802082e-10,1.080911293631359182e-10,1.116589648433169435e-10,1.080594381336341669e-10,1.029016958448147889e-10,9.997044511655950316e-11,9.967816849698607484e-11,9.971213785209265268e-11,1.000610566626036757e-10,2.605671234334749897e-11
9.100000000000000311e-01,5.323433874938948707e-02,1.052579802439897877e-01,1.018081399965966027e-01,1.003943001993074652e-01,9.873686998419639593e-02,9.622037421515687583e-02,9.168762744300897050e-02,8.798429835893226136e-02,8.358589776070993183e-02,7.742683189993600223e-02,6.947038790663578878e-02,5.963197735013352208e-02,5.124684930798253241e-02,3.710288574959164781e-02,1.701429955556126646e-04,5.187980004067874252e-07,6.187324616973172427e-08,2.035181164682024448e-08,9.675610122521120327e-09,5.505665253427915670e-09,3.535899538767948991e-09,2.472844518345770903e-09,1.811361992690163625e-09,1.401123645057567035e-09,1.117968315145212443e-09,9.388160734924433370e-10,8.035363728564615116e-10,6.995563989198316790e-10,6.211460035557281323e-10,5.603101845344515830e-10,5.095823060394244486e-10,4.666188290793071847e-10,4.297902110432256367e-10,3.974378791227347295e-10,3.691950423764106537e-10,3.451115141816889220e-10,3.238135596250399373e-10,3.051935535346682327e-10,2.887433123545737890e-10,2.742414167392244473e-10,2.606024802421016973e-10,2.488975788710393044e-10,2.382449399980328397e-10,2.285422887450625634e-10,2.193469842066454734e-10,2.108225663271720562e-10,2.029453699276678735e-10,1.956563218732942921e-10,1.931750731598569359e-10,1.889190436032972542e-10,1.818961318372780411e-10,1.743998201061969233e-10,1.762181824072062142e-10,1.788444670136613013e-10,1.822583611810202342e-10,1.612465959366371493e-10,4.852784840636559238e-11
9.200000000000000400e-01,5.331726175931372769e-02,1.047784683838069164e-01,1.013602806119456579e-01,9.995145937785158974e-02,9.826094458169523649e-02,9.535616449457987032e-02,9.244140627018289369e-02,8.731274992238081956e-02,8.331331267132503771e-02,7.703182119063092803e-02,7.043824199926100593e-02,6.174174132065983478e-02,4.835004906440625722e-02,3.785955786857515826e-02,1.211386570669093637e-04,7.188807249968965493e-09,2.204976186896765505e-09,1.227510331316446421e-09,8.135310599819128158e-10,5.906597576495198343e-10,4.557178220941995872e-10,3.667906655485664302e-10,3.050943647026072014e-10,2.603958784708204632e-10,2.252866712626477863e-10,1.981386027471998545e-10,1.756367655481039236e-10,1.567178956052295291e-10,1.411355082282794715e-10,1.287325504441966251e-10,1.182685110869691192e-10,1.093107484953850794e-10,1.015755814962743253e-10,9.482901576073239636e-11,8.889151261316612096e-11,8.361254060317268580e-11,7.891049052795133523e-11,7.470594433865718198e-11,7.092834446945778248e-11,6.752387009451889244e-11,6.443366645087194450e-11,6.163157034418456637e-11,5.904231786910563856e-11,5.666162265945129395e-11,5.446643646083576540e-11,5.243718805524044679e-11,5.055871173109682815e-11,4.881330062378452794e-11,4.656701673572127831e-11,4.718745403101132219e-11,4.458961124593693870e-11,4.432583987357130439e-11,4.423976115996985925e-11,4.431247035974195114e-11,4.236308873140082198e-11,4.142926279815384305e-11,1.092359536158937772e-11
9.300000000000000488e-01,5.339823162986911953e-02,1.043118765682767013e-01,1.009282839873242160e-01,9.952272768432732231e-02,9.782780672309372705e-02,9.489074169042607809e-02,9.152770143860557150e-02,8.824950473283511843e-02,8.266768494685018676e-02,7.671729282831332708e-02,7.019122947428238501e-02,6.143790789360304566e-02,5.091778943495204462e-02,3.590763070699816428e-02,1.386804635992988470e-03,7.071852840499545097e-09,1.551011036618582936e-09,7.958167315782506412e-10,5.104527197252132359e-10,3.654544348348151561e-10,2.796589433011302528e-10,2.230399632346946603e-10,1.851784871276240807e-10,1.592936199612537962e-10,1.369463084599509273e-10,1.184832197631546791e-10,1.045824555429009095e-10,9.367420034100959469e-11,8.469938834500256863e-11,7.724422555581422767e-11,7.089004887663244436e-11,6.546990369542954324e-11,6.079646826256815753e-11,5.671592998374099144e-11,5.313460241051061808e-11,4.996997507287996424e-11,4.715403486784969928e-11,4.463039039018560326e-11,4.236621541291814199e-11,4.031773072137815467e-11,3.846182487294552547e-11,3.677132696369624781e-11,3.523089674541731581e-11,3.381988894664289536e-11,3.252160063330674505e-11,3.132827947527252327e-11,3.022503422675168472e-11,2.937400019401015250e-11,2.737979141369598080e-11,2.833741292833369396e-11,2.665470144949666498e-11,2.599553298315848693e-11,2.539191339828716920e-11,2.484780783906792578e-11,2.516307995303890266e-11,2.389316695883270114e-11,7.521983036440360593e-12
9.399999999999999467e-01,5.348504892779332165e-02,1.038663110423992814e-01,1.005172214642237466e-01,9.912091507335941964e-02,9.743110330337634295e-02,9.449172729420188266e-02,9.111830363998218996e-02,8.739216140496869345e-02,8.359407116845871122e-02,7.615336698716462793e-02,7.003301142595429185e-02,6.140170534241714412e-02,5.097969961577071552e-02,3.728005172370175285e-02,1.024680535456337941e-03,8.025237148249063175e-09,2.476551177212569230e-09,1.370164397993125322e-09,9.044585138891052256e-10,6.567910604217321729e-10,5.069434466393324401e-10,4.056276564634586634e-10,3.363681945825480746e-10,2.905173671075012010e-10,2.538980137245516744e-10,2.190118433831322875e-10,1.911560224346353642e-10,1.712404107401255260e-10,1.551551027413611283e-10,1.417332057924644562e-10,1.301967330604933415e-10,1.203316436835903669e-10,1.116998048418006706e-10,1.041825493334081615e-10,9.758716038488386701e-11,9.175418766243191582e-11,8.657242591802571247e-11,8.193541125526421220e-11,7.777087448427449923e-11,7.401276365056903145e-11,7.060480639812377612e-11,6.751367515175563105e-11,6.468818232810424895e-11,6.210379422093986745e-11,5.973846189857162647e-11,5.755945557423675085e-11,5.516554183945809875e-11,5.345197093102604935e-11,5.002821160809967083e-11,5.186448349243054368e-11,4.828223237884898822e-11,4.661636528180412853e-11,4.502790501570430592e-11,4.795359248577213407e-11,4.301306012755024000e-11,4.575812645457588701e-11,1.710431796198008669e-11
9.499999999999999556e-01,5.357475405466882723e-02,1.034446644919208708e-01,1.001295321976625186e-01,9.874307616827283918e-02,9.706272416439815087e-02,9.412710291640616345e-02,9.076895771022791548e-02,8.700260997574001121e-02,8.276095425088142443e-02,7.719183687228876878e-02,6.952991701370886402e-02,6.142803912969362762e-02,5.071193788072164005e-02,3.918450026651419671e-02,1.574056517036332261e-04,8.758402688927107928e-09,2.598211408673232635e-09,1.430008580559038425e-09,9.416341412930417237e-10,6.827001001872461464e-10,5.250117461001041486e-10,4.203035640880370405e-10,3.473153951938368067e-10,2.980854521550391212e-10,2.622299044574560867e-10,2.280256261588675670e-10,1.981911379803080742e-10,1.753015926864165408e-10,1.590119685229707258e-10,1.454788026156172975e-10,1.340570944183272495e-10,1.237948717060927128e-10,1.151720186234883592e-10,1.073860132760895425e-10,1.005486006955269573e-10,9.451864638188034462e-11,8.915845102139274836e-11,8.436839454058903121e-11,8.007149511577577039e-11,7.619571325886281832e-11,7.268882360172285173e-11,6.950261199900609199e-11,6.660251126652805276e-11,6.395132860770313954e-11,6.152267410797218616e-11,5.841078055263126956e-11,5.672438040116301039e-11,5.509006735494002827e-11,5.051381535281507240e-11,5.276586285962725498e-11,4.831918545833424616e-11,4.617999038725173477e-11,5.081528253736422585e-11,4.547259097043010456e-11,4.606351411418074804e-11,4.954807397705707217e-11,2.077588101556671063e-11
9.599999999999999645e-01,5.366025767397614166e-02,1.030288939269936171e-01,9.974653780320050234e-02,9.836781698071854485e-02,9.669546366240408530e-02,9.376136070815374590e-02,9.042293189055730651e-02,8.663701385935368426e-02,8.234900412956093485e-02,7.640201781638858436e-02,6.997767212999840558e-02,6.139154793181333947e-02,5.154352893816185888e-02,3.954064513528437325e-02,6.219516499763285463e-04,1.225523728924270549e-08,3.699456048444565797e-09,2.035662012688683206e-09,1.339215954647578590e-09,9.691979571061892090e-10,7.434266334049172142e-10,5.957013020883861198e-10,4.912479294877369895e-10,4.181854307283572325e-10,3.674633791694859042e-10,3.241173440748923440e-10,2.822046415995593804e-10,2.475711649574385831e-10,2.230560874894038648e-10,2.040939604819325126e-10,1.881289152239062901e-10,1.745061228766026096e-10,1.620436773045602630e-10,1.514460631554803705e-10,1.418058170887803726e-10,1.332952290211686375e-10,1.257272697410827256e-10,1.189678253913500905e-10,1.128949824250047307e-10,1.074169455640705539e-10,1.024473492150512755e-10,9.793186791021146753e-11,9.380870581200684288e-11,9.003431333809430726e-11,8.545212367566668021e-11,8.290377911078505857e-11,8.012968912528284360e-11,7.653307067950754217e-11,6.961631618396246779e-11,7.303825426407950516e-11,6.625996973319558947e-11,7.305859389683533323e-11,6.615851963487351384e-11,6.380433074243407887e-11,6.784089262579229285e-11,7.234811361112036820e-11,3.156169769980010642e-11
9.699999999999999734e-01,5.375347246822093084e-02,1.026433625866108729e-01,9.939295029098874079e-02,9.802466445052943067e-02,9.636374116522614108e-02,9.343776271247204723e-02,9.012676214486306514e-02,8.634707592830354050e-02,8.207090138421574421e-02,7.619739091857571922e-02,6.977654417342574189e-02,6.127278671388657755e-02,5.144005649884182685e-02,3.972885563490918814e-02,1.596068178830413768e-03,1.079396966310826995e-08,1.749808456597098016e-09,8.451843565801823912e-10,5.307090306360664686e-10,3.733274352634916027e-10,2.823643311354595564e-10,2.241176497858043959e-10,1.860526455121913614e-10,1.584467140824941112e-10,1.350091358154337229e-10,1.174365639455832167e-10,1.034393473653416606e-10,9.224046092909388150e-11,8.322474285248071535e-11,7.568991375501987751e-11,6.941385292079382818e-11,6.406091493859830677e-11,5.943780496541102576e-11,5.541040145300027767e-11,5.185510582126490187e-11,4.873212591923956061e-11,4.594164876000131348e-11,4.345058851834646824e-11,4.121720500983253738e-11,3.920394335500589772e-11,3.738019460207842731e-11,3.570231089933262325e-11,3.419144275432911551e-11,3.281044630865787015e-11,3.154022697990409643e-11,3.036467708132303822e-11,2.926972488166701414e-11,2.825487023169759304e-11,2.643264686991164680e-11,2.731250664002315975e-11,2.562028757549517088e-11,2.515082239695765054e-11,2.425895714776998835e-11,2.395473663180380797e-11,2.371980042936705502e-11,2.354806280524535111e-11,6.759037773917953018e-12
9.799999999999999822e-01,5.384476044876762568e-02,1.022687705605771907e-01,9.904885378669148199e-02,9.768991529789393391e-02,9.603891920126621240e-02,9.312022325529309419e-02,8.983090365575133185e-02,8.605292878773194987e-02,8.178648318402149953e-02,7.597716191791117901e-02,6.954498553431311125e-02,6.109338973657173211e-02,5.126673970152932636e-02,3.917981225656173849e-02,3.673642116810873874e-03,1.061659771165643230e-06,8.809214376292366900e-08,2.535938616566784517e-08,1.120408194129148991e-08,6.141163152062912439e-09,3.845272389564613480e-09,2.613784616696535057e-09,1.896790148558924471e-09,1.446003879135293602e-09,1.131251210761963222e-09,9.103433423751638998e-10,7.714146925408282840e-10,6.653184548427448775e-10,5.836007605994342207e-10,5.194348771638337969e-10,4.724936983010498415e-10,4.323908619390318120e-10,3.978195994467585012e-10,3.678329019141373529e-10,3.416511472027013076e-10,3.184466086008155838e-10,2.979427827501032744e-10,2.799885380510604149e-10,2.641784351226170863e-10,2.501639595006862303e-10,2.376576589401013274e-10,2.264232182061070566e-10,2.162732124126403276e-10,2.069655197582383286e-10,1.984373348013759517e-10,1.906279807671693721e-10,1.834804655756992753e-10,1.769218031626162979e-10,1.654093456171859544e-10,1.709063289110843153e-10,1.632302210063940606e-10,1.557081088414749570e-10,1.544054450269838341e-10,1.536138785618312852e-10,1.533364199501896508e-10,1.535198426716455344e-10,3.637734558026295417e-11
9.899999999999999911e-01,5.393599035273871634e-02,1.019073117538197015e-01,9.871713009076407697e-02,9.736607710780126324e-02,9.572459885772825749e-02,9.281092806341771639e-02,8.954473995860171009e-02,8.576601092353726419e-02,8.150729945293375134e-02,7.575222357181546351e-02,6.931383214136260795e-02,6.090304420792457679e-02,5.108319242607220478e-02,3.850284379812889124e-02,5.841419593462072492e-03,8.687080759653257635e-07,8.030286553589209764e-08,2.195158439803272975e-08,9.148632046001366636e-09,4.678937969845387360e-09,2.723003724507621313e-09,1.694848342616642189e-09,1.135186834724105642e-09,7.841788954299211412e-10,5.707462315263089891e-10,4.169175282786596881e-10,3.294683276200416344e-10,2.676142710211770748e-10,2.249783762064971882e-10,1.926435947544632814e-10,1.684118311386789690e-10,1.523407212010441381e-10,1.384838098144811069e-10,1.264352149452779850e-10,1.159450191564291577e-10,1.067985531824980350e-10,9.881676441774822715e-11,9.183575457711277978e-11,8.570329398959776468e-11,8.030167871798943313e-11,7.551855863742462649e-11,7.126139787514015021e-11,6.745976655975552405e-11,6.404848656646477956e-11,6.097220276411741136e-11,5.818449064567965401e-11,5.566492666114752907e-11,5.338427985258908937e-11,5.150842946610723061e-11,5.135514973345078893e-11,4.851052209670775328e-11,4.817627199948937289e-11,4.845333856362543656e-11,4.894957356116336200e-11,4.966181632592991946e-11,4.423659702434967755e-11,1.248667835795913561e-11
1.000000000000000000e+00,5.401981102316527616e-02,1.015485181465253378e-01,9.836561600880044942e-02,9.686180035083756523e-02,9.589107469859378674e-02,9.234555072490358008e-02,8.923913043054224059e-02,8.547440343019808984e-02,8.122382424396107359e-02,7.551705198493452453e-02,6.907403452495931850e-02,6.069063667532411527e-02,5.087480855573006666e-02,3.761197127403360929e-02,8.264233656426304975e-03,8.034560730293864498e-07,7.193720329547379789e-08,1.953483783297859299e-08,8.022162650425055394e-09,4.022145512903494390e-09,2.264776703469421199e-09,1.385354243864725388e-09,9.110296822489871715e-10,6.080692234455842282e-10,4.362513579547755427e-10,3.058058632710025648e-10,2.233493112679951764e-10,1.789723785838859271e-10,1.471195977542638644e-10,1.237352408034464446e-10,1.061950085159968360e-10,9.209614668104215696e-11,8.361088947930750415e-11,7.621280082720227611e-11,6.960692525842526734e-11,6.372620302546455617e-11,5.851597093160798568e-11,5.392818751780679987e-11,4.988853817902705323e-11,4.632892283511474280e-11,4.318502478360686236e-11,4.040364115324990291e-11,3.792287404241756477e-11,3.570955814033438536e-11,3.372243413332642881e-11,3.194054309235694333e-11,3.037148744305939729e-11,2.905318347012908475e-11,2.742283643545305460e-11,2.888630307174011591e-11,2.685477621527931902e-11,2.664496748239209012e-11,2.654116856848354189e-11,2.655568126508356386e-11,2.533864090770165944e-11,2.470782259345050136e-11,6.040112854321932900e-12
1.010000000000000009e+00,5.406085471573301993e-02,1.002164018660101213e-01,9.846809830212595316e-02,9.666965212929735929e-02,9.525333740818259232e-02,9.215034082371824364e-02,8.905744023367229145e-02,8.534924437600475977e-02,8.113820276340839854e-02,7.541948130660101890e-02,6.923453824345500440e-02,6.100031663796436771e-02,5.138914564602736074e-02,3.886134717619947609e-02,7.316141715550322951e-03,9.039505513536830854e-07,8.211058768175691122e-08,2.241071234478549123e-08,9.329869518832131087e-09,4.756466587960074717e-09,2.691479763020088178e-09,1.670335029145542105e-09,1.096355277396821037e-09,7.531095053137093487e-10,5.328130228687832926e-10,3.920525293299448322e-10,2.847406962991350099e-10,2.235811639994533806e-10,1.843303825549424957e-10,1.586237469500262343e-10,1.384997403222620882e-10,1.222397608482972409e-10,1.078823130547072739e-10,9.851552199339162763e-11,9.050321395900808724e-11,8.335408043316522991e-11,7.695666180045426796e-11,7.124732307763319977e-11,6.617148473451626642e-11,6.166588859555025004e-11,5.766428075326419239e-11,5.409612983801360964e-11,5.090970529799017374e-11,4.805784234646927333e-11,4.551347973090653920e-11,4.328591909279026761e-11,4.149873007079987741e-11,4.033757529386949869e-11,3.757925416160434740e-11,3.877242992812723887e-11,3.659448351983618508e-11,3.571476968333708868e-11,3.495936873321170424e-11,3.433112821804584769e-11,3.423793540346942166e-11,3.265358122783723616e-11,9.048484184148719578e-12
1.020000000000000018e+00,5.415564234741010452e-02,9.903946297320936898e-02,9.866628450102499226e-02,9.635123597544045793e-02,9.501165485686502432e-02,9.190343719114230092e-02,8.883776900561361767e-02,8.513823819859928088e-02,8.098692460584713815e-02,7.528551137391692460e-02,6.918243418281741497e-02,6.103287253175292137e-02,5.127101423703908645e-02,4.053708940321659737e-02,6.210186165060167275e-03,1.079864876374821703e-06,8.933473098685344235e-08,2.384615161542439314e-08,9.939844412584466138e-09,5.067963125982705153e-09,2.923833214820217852e-09,1.850747756464892271e-09,1.228528343291679370e-09,8.642345545803453710e-10,6.227429058536237960e-10,4.789725560616631128e-10,3.593113723221463829e-10,2.784746964273887571e-10,2.329359817011822376e-10,2.042197617610486127e-10,1.813209144461980227e-10,1.622562866942893478e-10,1.458247878461001179e-10,1.314757715133348104e-10,1.206372276379985564e-10,1.116357077309351742e-10,1.037209860642492043e-10,9.666249186713118946e-11,9.036130550136699940e-11,8.472639050852853737e-11,7.969263779699503614e-11,7.518348965585789495e-11,7.117371819134136329e-11,6.763605284567167364e-11,6.466619712039607670e-11,6.187970990646773917e-11,5.957756851878923121e-11,5.745273979395411519e-11,5.344902981579274792e-11,5.538684528377801897e-11,5.167400708716574087e-11,5.004055416563124581e-11,4.855580824567051756e-11,5.070478759083840714e-11,4.623724694135036839e-11,4.812515663754624029e-11,1.562633356044784705e-11
1.030000000000000027e+00,5.425060644156393108e-02,9.788879386733582988e-02,9.886641189212763692e-02,9.604063798601639168e-02,9.478034493642624458e-02,9.166146772346331351e-02,8.862496289667087801e-02,8.492784828729860180e-02,8.083913452120795873e-02,7.514775261241977977e-02,6.910108144350514403e-02,6.116322469341106682e-02,5.077372049026145084e-02,4.258659712619405208e-02,4.994397707659907482e-03,1.331957903679490664e-06,9.215930074960737772e-08,2.368451419543382139e-08,9.930469273718687834e-09,5.114627771898557287e-09,3.044289140165159363e-09,2.000567131442768098e-09,1.371578680492424596e-09,1.005644751500556211e-09,7.505130267260184951e-10,5.921515361384521725e-10,4.802940614667683406e-10,3.923370968383910196e-10,3.312646788822259936e-10,2.918007502294983624e-10,2.625734126654455380e-10,2.383175011499982787e-10,2.177273179457261953e-10,1.997351912227766924e-10,1.833791066045697971e-10,1.699817710632683943e-10,1.585304840959894657e-10,1.486082613303546518e-10,1.397964003672230726e-10,1.319158148601479175e-10,1.248418584221672178e-10,1.184947975244737828e-10,1.128583758565337991e-10,1.079991909704730579e-10,1.028039597894547796e-10,9.916873832532813182e-11,9.581121345521997901e-11,9.184235403442153611e-11,8.448218166701160214e-11,8.806881873074656752e-11,8.108496166170375830e-11,7.785526737191794666e-11,8.397944145643876368e-11,7.620625983549567106e-11,7.617170783014159952e-11,8.064655193651404375e-11,2.979710922446088261e-11
1.040000000000000036e+00,5.240688705820258780e-02,1.004812654086192497e-01,9.706354414050930024e-02,9.588705022605314987e-02,9.454023265399109921e-02,9.140569691333698399e-02,8.838481965595423873e-02,8.467303611131944685e-02,8.063792026417412884e-02,7.491779926078154239e-02,6.893062998032399580e-02,6.089146587226416940e-02,5.093554644595133657e-02,3.989219669427282455e-02,9.585535265899102278e-03,7.959681538500726011e-07,8.024036941989635839e-08,2.207694337033773163e-08,9.103850339585499397e-09,4.583578348197735880e-09,2.621917771002818531e-09,1.616457300694998378e-09,1.057543307265984556e-09,7.167087808651606551e-10,5.011253773057333660e-10,3.562406064583356624e-10,2.746415456167383695e-10,2.123975509360498393e-10,1.692342624544374008e-10,1.405631583351052427e-10,1.239885034920451545e-10,1.104509053662106055e-10,9.901793187466756407e-11,8.926755125024388171e-11,8.084380300615867654e-11,7.292204904155163980e-11,6.607326751700837164e-11,6.072081856420274981e-11,5.610005862632938545e-11,5.233277526606183727e-11,4.926245305778009786e-11,4.604397505630908327e-11,4.378037342378515717e-11,4.176553027035456722e-11,3.998028839415079805e-11,3.817317382331930631e-11,3.628484882348126384e-11,3.450913860225668373e-11,3.129670481105684132e-11,3.284862312713521248e-11,2.985668656751983008e-11,3.263764952743386516e-11,2.971548051025618697e-11,2.839851964697714948e-11,2.995480252732107829e-11,3.168938722541980724e-11,1.246824865575035801e-11
1.050000000000000044e+00,5.206946686910893241e-02,1.002334135262101522e-01,9.681336805606249873e-02,9.564234358905547573e-02,9.433650141727965843e-02,9.119085560565139137e-02,8.820890707914655349e-02,8.446436764803899599e-02,8.064690123881636252e-02,7.447257629076628471e-02,7.026143433326474674e-02,5.935795412856888220e-02,5.121328525537410803e-02,3.838660181318821751e-02,1.138916802995886685e-02,8.167956570441122884e-07,7.873519060117096464e-08,2.105867873704987491e-08,8.571272214887373526e-09,4.318363225439426217e-09,2.475543918375447058e-09,1.514319918375847673e-09,9.933524505343835354e-10,6.698743833938314296e-10,4.729527628907770342e-10,3.308023854842190303e-10,2.495525730505931961e-10,1.940112237530655648e-10,1.548667409589921107e-10,1.265308153391986323e-10,1.081095282740029973e-10,9.682676882505347749e-11,8.710611745788021665e-11,7.868848801717565067e-11,7.139935344346870494e-11,6.507831713841241705e-11,5.956698112194458439e-11,5.439636517915943936e-11,5.005830103731179204e-11,4.642385347669586437e-11,4.335506931761601290e-11,4.075024540896310388e-11,3.851380152297689818e-11,3.642298539597438323e-11,3.439535743894606146e-11,3.253706592348803994e-11,3.082795390491055443e-11,2.925034346679122876e-11,2.643604432583934738e-11,2.779249053119769997e-11,2.519747258067361884e-11,2.634300937109923524e-11,2.447635323588048806e-11,2.548973185301228739e-11,2.665048737249264832e-11,2.795252918019741628e-11,1.144764838478806723e-11
1.060000000000000053e+00,5.175120689532406587e-02,1.000059567695916335e-01,9.658466313292289607e-02,9.541783518146818022e-02,9.415466808704767154e-02,9.100542815123542628e-02,8.801502400332900100e-02,8.445546385538499345e-02,8.005316205451079581e-02,7.619704736804069900e-02,6.737792939852770002e-02,6.075380868983493859e-02,5.098113136142129465e-02,3.951085554454038945e-02,1.023380980950089510e-02,1.240748357689201498e-06,9.631978861857368588e-08,2.314427119919844784e-08,9.201136540202615229e-09,4.578355744557492148e-09,2.584263770533980209e-09,1.586457280215031185e-09,1.048284378572794662e-09,7.104641042143811092e-10,5.155300700221410182e-10,3.640309859109791546e-10,2.677221361269133126e-10,2.140859295396424500e-10,1.735867716928796156e-10,1.444835258379573162e-10,1.240355504937562525e-10,1.082770886839945490e-10,9.829454719785524208e-11,8.953865459401105786e-11,8.179836604067791672e-11,7.497616427449421694e-11,6.898704493134375643e-11,6.372917874877001652e-11,5.911570821889259447e-11,5.505845090828312416e-11,5.148087978048415669e-11,4.831607805359273977e-11,4.550825702062145928e-11,4.299660310408924546e-11,4.075261661332443830e-11,3.872872617223521718e-11,3.690843507556107461e-11,3.526741398918176174e-11,3.253966237085070823e-11,3.380846145574489814e-11,3.227885320145063019e-11,3.073502758722812533e-11,3.040210531241038794e-11,3.019973160434119563e-11,3.008649579472333357e-11,3.005235643671611001e-11,7.124634215927017067e-12
1.070000000000000062e+00,5.143178095436605479e-02,9.977138407672921094e-02,9.634951643913583497e-02,9.518295379068834883e-02,9.397541687737566429e-02,9.075380440962579898e-02,8.804911620677570439e-02,8.366128015910942461e-02,8.196567181359017129e-02,7.293297455861134926e-02,6.868810354001446405e-02,6.037588153148830405e-02,5.091478238233006215e-02,3.904046189078915624e-02,1.171935624266950970e-02,1.266061905909945285e-06,8.309975023979030519e-08,2.014352559889321173e-08,7.973062796071714135e-09,3.946060707372335444e-09,2.192398977315414277e-09,1.338368194210830947e-09,8.678777045981189708e-10,5.877536500033253564e-10,4.101849415683034294e-10,2.989165928668491290e-10,2.187444600454391264e-10,1.720090944679064648e-10,1.377987238204703146e-10,1.133544438869371618e-10,9.520013119837522630e-11,8.347456493390525978e-11,7.270098629011401137e-11,6.638914418211072643e-11,6.080224843572901161e-11,5.577938501713508579e-11,5.128506300189350497e-11,4.728590809926006000e-11,4.374629746449996970e-11,4.061680541054581151e-11,3.784207322499177906e-11,3.538322700157373046e-11,3.318833489279748861e-11,3.123049735487271050e-11,2.946843593795711591e-11,2.787732024389644181e-11,2.645030418649274573e-11,2.518708765858468368e-11,2.428596213022160555e-11,2.413656514238526896e-11,2.288336599202966948e-11,2.261686324334100107e-11,2.268301171892694867e-11,2.283938316249845002e-11,2.308703228592889900e-11,2.123396250497400217e-11,5.205336162106277698e-12
1.080000000000000071e+00,5.111081158736330288e-02,9.953679280588752232e-02,9.611204770149212040e-02,9.495734439381520176e-02,9.375122224653083258e-02,9.074888718026741241e-02,8.723370020035797756e-02,8.564031319697981703e-02,7.846565764385564357e-02,7.432274443947593789e-02,6.823214020123687107e-02,6.030730059355941114e-02,5.074013328414640062e-02,3.828835618875986446e-02,1.373861162489971657e-02,1.030498955865238694e-06,7.736744706778371971e-08,1.938906282266431462e-08,7.698606796502847838e-09,3.793163413055347362e-09,2.091866446466282190e-09,1.273930927199083078e-09,8.183783232790405038e-10,5.543743162553411985e-10,3.824054757746442323e-10,2.780983243168277941e-10,1.946249827966539669e-10,1.412487349305990847e-10,1.134053129181467057e-10,9.362988856453924313e-11,7.917017909309098656e-11,6.786445710948996179e-11,6.000424809804449922e-11,5.238340100230387542e-11,4.776244070386903573e-11,4.374350317734587712e-11,4.012059770779757839e-11,3.687169352391966859e-11,3.396677974694742308e-11,3.138435209415132987e-11,2.909157940586548641e-11,2.705596792614006763e-11,2.525397946318008735e-11,2.364167011031231835e-11,2.220754895081167302e-11,2.093190182815563016e-11,1.984859997715415769e-11,1.900930237871967243e-11,1.787993841526058780e-11,1.883611149000596896e-11,1.747947880187394887e-11,1.732546398014456202e-11,1.723915801776776391e-11,1.722787884572696271e-11,1.729314608178711410e-11,1.594694168383092858e-11,3.804290216180561401e-12
