method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,selected_rows,selected_original_columns
CPG,11,11,4.083880080973903835e+07,0.449856670,1.082381855,4.083880080973903835e+07,1.120398971255548857e+07,6.357888080208803527e+06,7.634648926837139804e-01,3.793258206672864286e-02,1.790183803197641088e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11]"
Angular Defect Greedy,11,11,2.167319436075982153e+08,0.580237986,1.165043713,2.167319436075982153e+08,9.957312570421816409e+07,1.044176109696562141e+08,8.337742125650275671e-02,4.194446986307704545e-02,4.178168715643590381e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9]"
CPG,12,12,3.706743843379331380e+07,0.520984301,1.228810667,3.706743843379331380e+07,1.005460428512731753e+07,6.283035011791288853e+06,7.634648926837139804e-01,3.684929306411597466e-02,1.760538170322347232e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34]"
Angular Defect Greedy,12,12,1.637085044278185070e+08,0.639197877,1.283308582,1.637085044278185070e+08,6.298789936410982162e+07,5.351382348541345447e+07,5.058912382211893516e-02,2.696519534511777894e-02,3.088149423118316875e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49]"
CPG,13,13,3.275557643839889020e+07,0.599777889,1.393639715,3.275557643839889020e+07,8.396062304760491475e+06,6.163081070973964408e+06,7.634648926837139804e-01,3.398804690342604323e-02,1.698216946298188902e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26]"
Angular Defect Greedy,13,13,1.637085044278185070e+08,0.703240992,1.414334938,1.637085044278185070e+08,6.292000817644558102e+07,5.351382348541345447e+07,4.782734918050581679e-02,2.643822530530404169e-02,3.025346757795243161e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10]"
CPG,14,14,2.378696827815872803e+07,0.691732048,1.580672536,2.378696827815872803e+07,7.409514044170786627e+06,5.440016262600345537e+06,7.634648926837139804e-01,3.334241234273504356e-02,1.523583431960455047e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41]"
Angular Defect Greedy,14,14,1.637085044278185070e+08,0.774402854,1.556924761,1.637085044278185070e+08,6.227383688700861484e+07,5.351382348541345447e+07,4.707706694580109791e-02,2.509789128373458508e-02,2.789781028240187477e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22]"
CPG,15,15,2.314638724508606642e+07,0.794295221,1.791283922,2.314638724508606642e+07,6.922632889367439784e+06,4.917819560079217888e+06,7.634648926837139804e-01,3.293477168918713949e-02,1.442950929786014592e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36]"
Angular Defect Greedy,15,15,1.637085044278185070e+08,0.855790374,1.746614954,1.637085044278185070e+08,6.216128105805313587e+07,5.351382348541345447e+07,4.658650646506345971e-02,2.450299978346650101e-02,2.721437802498265918e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12]"
CPG,16,16,2.238206819339402765e+07,0.981943233,2.134977514,2.238206819339402765e+07,6.276461086385582574e+06,4.779510158203419298e+06,7.634648926837139804e-01,3.159443736678869269e-02,1.393096737568532426e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22]"
Angular Defect Greedy,16,16,1.146556495898026228e+08,0.968504268,1.965861283,1.146556495898026228e+08,4.065528425307197869e+07,3.421043076215448231e+07,4.407484813575879290e-02,1.781704410880862594e-02,1.852904618320620755e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62]"
CPG,17,17,2.079086158115830272e+07,1.277973066,2.848854871,2.079086158115830272e+07,5.724310379170560278e+06,4.615227488341921940e+06,6.928729415748224874e-01,2.266070672860256985e-02,1.386277676593046992e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8]"
Angular Defect Greedy,17,17,1.146556495898026228e+08,1.276387989,2.430723867,1.146556495898026228e+08,3.973893710409753770e+07,3.113655970409648865e+07,4.372917871353351749e-02,1.668343620548508668e-02,1.840166441019619459e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30]"
CPG,18,18,2.023803765136408806e+07,1.488611277,3.286005483,2.023803765136408806e+07,5.195772849515270442e+06,4.539843596020493656e+06,6.928729415748224874e-01,2.063774766974936156e-02,1.369289370343681166e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15]"
Angular Defect Greedy,18,18,1.146556495898026228e+08,1.465480971,2.869218321,1.146556495898026228e+08,3.624136691560035199e+07,2.228319732096484303e+07,3.993790309377615033e-02,1.440036241783377614e-02,1.578069402795791859e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41]"
CPG,19,19,1.557056181901981868e+07,1.872054806,4.045952940,1.557056181901981868e+07,4.828886061321373098e+06,4.329304022566907108e+06,6.928729415748224874e-01,2.024667155292922405e-02,1.347546375963664961e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32]"
Angular Defect Greedy,19,19,1.146556495898026228e+08,1.843077751,3.691527922,1.146556495898026228e+08,3.604637660515397042e+07,2.228319732096484303e+07,3.082163814752721109e-02,1.375073458278694948e-02,1.566681549255027894e-02,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16]"
CPG,20,20,1.307541082033032179e+07,2.389119003,4.973229780,1.307541082033032179e+07,4.551781682822609320e+06,4.028102351084857248e+06,6.928729415748224874e-01,1.983493457190750250e-02,1.322264389625790910e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28]"
Angular Defect Greedy,20,20,8.010697390219485760e+07,2.202208033,4.483515102,8.010697390219485760e+07,2.086305594040267542e+07,1.229958403910301253e+07,3.023371120716247112e-02,9.755679970015288319e-03,8.297433359632472999e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73]"
CPG,21,21,1.235188246571318619e+07,2.808641777,5.839192929,1.235188246571318619e+07,4.415579480694748461e+06,3.861386967766663991e+06,6.928729415748224874e-01,1.967789547433869066e-02,1.303315804577556258e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31]"
Angular Defect Greedy,21,21,8.010697390219485760e+07,2.776325393,5.495598790,8.010697390219485760e+07,2.079607367716391385e+07,1.229958403910301253e+07,2.917245286380605249e-02,9.440745478164125001e-03,8.184642550880243117e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13]"
CPG,22,22,1.230975138892018050e+07,3.276370376,6.800879702,1.230975138892018050e+07,4.219244994348023087e+06,3.770712418114873581e+06,6.928729415748224874e-01,1.875137043223420313e-02,1.290969199463409649e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13]"
Angular Defect Greedy,22,22,8.010697342248669267e+07,3.255167779,6.466639807,8.010697342248669267e+07,2.060080656886983290e+07,1.216216490708453022e+07,2.717609350252382996e-02,8.977441451932084704e-03,7.921190734036609102e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20]"
CPG,23,23,1.190454993619256094e+07,3.767708097,7.809920442,1.190454993619256094e+07,4.023977917140528560e+06,3.612886114757296629e+06,6.928729415748224874e-01,1.828806638494808942e-02,1.258125232318592877e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20]"
Angular Defect Greedy,23,23,8.010695404102645814e+07,3.890431972,7.733873643,8.010695404102645814e+07,1.958200306198934838e+07,1.078866690156727470e+07,2.439537993137202987e-02,8.207049032969027796e-03,6.048868182762458592e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38]"
CPG,24,24,1.108905916556917317e+07,4.439011322,9.156019364,1.108905916556917317e+07,3.844984076560517307e+06,3.462463520815954544e+06,5.202341493278574980e-01,1.149809969602790492e-02,1.227445862535271473e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6]"
Angular Defect Greedy,24,24,8.010695404102645814e+07,4.543132171,9.013282953,8.010695404102645814e+07,1.590541277414952405e+07,6.857362057561282068e+06,2.430377417546866065e-02,6.707701533672109917e-03,2.277848991633239784e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54]"
CPG,25,25,1.104592426456299797e+07,5.094065377,10.385754360,1.104592426456299797e+07,3.640527558465932962e+06,3.439008202178257983e+06,5.202341493278574980e-01,1.112446842011628745e-02,1.199096621302466695e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24]"
Angular Defect Greedy,25,25,8.010695403153184056e+07,5.162653277,10.335409520,8.010695403153184056e+07,1.583681563354674913e+07,6.857362057561283000e+06,2.311659277301739840e-02,6.454537218744050425e-03,2.251382976314029311e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15]"
CPG,26,26,9.284991309518363327e+06,5.669729481,11.644868185,9.284991309518363327e+06,3.525465812906598207e+06,3.367444083993101493e+06,5.202341493278574980e-01,1.096850409205015787e-02,1.165366630673307560e-03,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24, 29]"
Angular Defect Greedy,26,26,8.010695221154728532e+07,5.704480268,11.569385591,8.010695221154728532e+07,1.555971095913616754e+07,6.308647036751909181e+06,2.251533272237703220e-02,6.042800123067188466e-03,2.198161355654091806e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15, 28]"
CPG,27,27,8.780317491030935198e+06,6.079544062,12.671333865,8.780317491030935198e+06,3.135904808353603352e+06,3.111835043332444504e+06,5.202341493278574980e-01,1.089180343692063013e-02,9.440611597326556501e-04,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24, 29, 91]"
Angular Defect Greedy,27,27,8.010695221154728532e+07,6.299238089,12.848129575,8.010695221154728532e+07,1.410764078453329951e+07,5.041205339374533854e+06,2.170308976977168569e-02,5.215337253516215410e-03,1.922669539913015669e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15, 28, 44]"
CPG,28,28,8.694307396401926875e+06,6.637457534,13.779131250,8.694307396401926875e+06,3.022977547994613182e+06,3.080618390873439610e+06,5.202341493278574980e-01,9.971856603759246887e-03,8.809163302660302699e-04,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24, 29, 91, 10]"
Angular Defect Greedy,28,28,8.010694345050106943e+07,6.927893505,14.055763691,8.010694345050106943e+07,1.374075199702537060e+07,4.825105083799782209e+06,2.028890573895509447e-02,4.824260586081543026e-03,1.818400877179094082e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41, 29]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15, 28, 44, 32]"
CPG,29,29,8.510032467270344496e+06,7.186107884,14.824780880,8.510032467270344496e+06,2.591353418834556360e+06,1.811869388864923269e+06,5.202341493278574980e-01,9.846076208400224641e-03,5.614084443632596242e-04,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7, 68]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24, 29, 91, 10, 71]"
Angular Defect Greedy,29,29,8.010694256016470492e+07,7.574450850,15.324383712,8.010694256016470492e+07,1.353629526620121859e+07,4.242440438504250720e+06,1.988558997071353251e-02,4.450629221765162874e-03,1.792236680525512897e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41, 29, 21]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15, 28, 44, 32, 24]"
CPG,30,30,7.664211188052233309e+06,7.703039030,16.033704062,7.664211188052233309e+06,2.479446990337093826e+06,1.634337365968195954e+06,5.202341493278574980e-01,9.500533249264132146e-03,4.530463873107909412e-04,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7, 68, 14]","[98, 48, 30, 73, 62, 18, 89, 38, 54, 44, 11, 34, 26, 41, 36, 22, 8, 15, 32, 28, 31, 13, 20, 6, 24, 29, 91, 10, 71, 17]"
Angular Defect Greedy,30,30,8.010691917241121829e+07,8.383852906,16.969769969,8.010691917241121829e+07,1.304941101744511910e+07,3.701446454018417746e+06,1.870801114542776367e-02,4.042987230918685705e-03,1.564814416273405812e-03,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41, 29, 21, 33]","[5, 98, 8, 18, 6, 11, 34, 7, 26, 14, 9, 49, 10, 22, 12, 62, 30, 41, 16, 73, 13, 20, 38, 54, 15, 28, 44, 32, 24, 36]"
