row,displacement_mm,method,residual,relative
68,0.74,Angular Defect Greedy,8.694305422165313736e+06,2.427586385724109144e-03
69,0.75,Angular Defect Greedy,8.125559004162404686e+06,2.225706730058736160e-03
70,0.76,Angular Defect Greedy,6.218796784399275291e-07,1.671731876165721510e-16
71,0.77,Angular Defect Greedy,5.884135397100292146e+06,1.552965957338831807e-03
72,0.78,Angular Defect Greedy,1.066155889967887662e+07,2.763492404346134038e-03
73,0.79,Angular Defect Greedy,1.574547803989550099e+07,4.009435161507843119e-03
74,0.8,Angular Defect Greedy,2.091309743757462129e+07,5.233146709640304137e-03
75,0.81,Angular Defect Greedy,2.611470039259960502e+07,6.423479340613979030e-03
76,0.82,Angular Defect Greedy,3.133334618101856858e+07,7.577964937966447968e-03
77,0.83,Angular Defect Greedy,3.656172457965275645e+07,8.696594784890947574e-03
78,0.84,Angular Defect Greedy,4.179618225865505636e+07,9.780221902376947871e-03
79,0.85,Angular Defect Greedy,4.703468583882418275e+07,1.083002270368427222e-02
80,0.86,Angular Defect Greedy,5.227601754621865600e+07,1.184728876389090461e-02
81,0.87,Angular Defect Greedy,5.751940426504398882e+07,1.283333466498324735e-02
82,0.88,Angular Defect Greedy,6.276254016783611476e+07,1.378906152801600941e-02
83,0.89,Angular Defect Greedy,6.791871896716034412e+07,1.469706354110838359e-02
84,0.9,Angular Defect Greedy,7.308388527598711848e+07,1.557989459143472623e-02
85,0.91,Angular Defect Greedy,7.776989163531471789e+07,1.633614894858317554e-02
86,0.92,Angular Defect Greedy,8.010691917241123319e+07,1.658438239340616696e-02
87,0.93,Angular Defect Greedy,7.737882262008313835e+07,1.579222547657487680e-02
88,0.94,Angular Defect Greedy,6.898575974273768067e+07,1.388263695098904994e-02
89,0.95,Angular Defect Greedy,5.950449350269563496e+07,1.180966654198590746e-02
90,0.96,Angular Defect Greedy,4.962209691855718940e+07,9.714449784291338472e-03
91,0.97,Angular Defect Greedy,3.969767753484446555e+07,7.667263314383400939e-03
92,0.98,Angular Defect Greedy,2.977325815113380924e+07,5.674254570781547130e-03
93,0.99,Angular Defect Greedy,1.984883876742169261e+07,3.733343203316025986e-03
94,1,Angular Defect Greedy,9.924419383711533621e+06,1.842551853833510403e-03
95,1.01,Angular Defect Greedy,2.009416692102119573e-05,3.683037721714293753e-15
0,0.18,CPG,9.803543332593581713e-68,9.803543332593581054e-67
1,0.185,CPG,3.050815178005797070e-67,3.050815178005796939e-66
2,0.19,CPG,4.702613960894970223e+06,5.202341493278574980e-01
3,0.195,CPG,1.594983102370428083e-07,5.462456577867091141e-15
4,0.2,CPG,6.620160717589854263e+06,1.272898251501219935e-01
5,0.205,CPG,2.193746531035503164e-08,2.867595080278713426e-16
6,0.21,CPG,6.629928875389502384e+06,6.486846209184965462e-02
7,0.215,CPG,4.218121638322963618e-08,3.274097573133031232e-16
8,0.22,CPG,1.276795706092945599e-07,8.173941296210962051e-16
9,0.225,CPG,6.656276693424057215e+06,3.613620276678853466e-02
10,0.23,CPG,2.152261987827295688e-07,1.011941826037092258e-15
11,0.235,CPG,6.557524546235346235e+06,2.713851191307480384e-02
12,0.24,CPG,0.000000000000000000e+00,0.000000000000000000e+00
13,0.245,CPG,5.910478690432080068e+06,1.966225649773711490e-02
14,0.25,CPG,5.364860914554617816e-08,1.622924552974342083e-16
15,0.255,CPG,0.000000000000000000e+00,0.000000000000000000e+00
16,0.26,CPG,6.809660758111881092e+06,1.740358080409041761e-02
17,0.265,CPG,1.208150657707519768e-07,2.863154340068324721e-16
18,0.27,CPG,6.905063357010683045e+06,1.524755467866033103e-02
19,0.275,CPG,1.297183205181794240e-06,2.680367931651560163e-15
20,0.28,CPG,5.914134941370570101e+06,1.147976649901071532e-02
21,0.285,CPG,3.854666007331933849e-07,7.052623140540148872e-16
22,0.29,CPG,4.335074898471117951e+06,7.498640014507050068e-03
23,0.295,CPG,3.002543384252111930e-07,4.923467307731217500e-16
24,0.3,CPG,1.842384295821235981e+06,2.871547729954155182e-03
25,0.31,CPG,1.272320102159824370e-07,1.888930278843595791e-16
26,0.32,CPG,1.883543342579341926e-08,2.553112999012239417e-17
27,0.33,CPG,1.251824432005804272e-07,1.560207231027656960e-16
28,0.34,CPG,7.175305815019701311e-08,8.273020328299449507e-17
29,0.35,CPG,1.521112352533245888e-07,1.631227222008478263e-16
30,0.36,CPG,5.312520398870491423e+06,5.323109032559838853e-03
31,0.37,CPG,2.905723732852461463e-07,2.731146857655706835e-16
32,0.38,CPG,1.781354132771282224e+06,1.576662896513173536e-03
33,0.39,CPG,3.534987119111713590e-07,2.955202343585533102e-16
34,0.4,CPG,4.025915710076726391e+05,3.188831459003338095e-04
35,0.41,CPG,1.881742281988109491e-07,1.415609206923995447e-16
36,0.42,CPG,2.499024514155667275e+06,1.790223895631683042e-03
37,0.43,CPG,3.175383582571890671e+06,2.170599738326595227e-03
38,0.44,CPG,0.000000000000000000e+00,0.000000000000000000e+00
39,0.45,CPG,3.679333538746788399e+05,2.303640099917087327e-04
40,0.46,CPG,7.167561306228289614e+05,4.305981528002867731e-04
41,0.47,CPG,8.136603369592953549e-07,4.697226484858185537e-16
42,0.48,CPG,3.417664528838492464e+06,1.899067694385691250e-03
43,0.49,CPG,2.303805732539510820e+06,1.233799498044720316e-03
44,0.5,CPG,1.252618742453311570e+06,6.473222669052241390e-04
45,0.51,CPG,1.567889670713226107e-07,7.827217180822591095e-17
46,0.52,CPG,7.664211188052233309e+06,3.700627254708186570e-03
47,0.53,CPG,6.231652465129405260e+06,2.913444447721068829e-03
48,0.54,CPG,4.899447597337257117e+06,2.219960721254064708e-03
49,0.55,CPG,3.780230337921777274e+06,1.661461985860587104e-03
50,0.56,CPG,3.045547225103940349e+06,1.299488259004922012e-03
51,0.57,CPG,1.094363441139303570e-06,4.536845244155591671e-16
52,0.58,CPG,3.317221074054972734e+06,1.337385427701957797e-03
53,0.59,CPG,3.460349310425285716e+06,1.357707324225372342e-03
54,0.6,CPG,3.942543597611549776e+06,1.506450780868287022e-03
55,0.61,CPG,4.659567674819559790e+06,1.734970028530941457e-03
56,0.62,CPG,5.516407984202097170e+06,2.002785930230950844e-03
57,0.63,CPG,6.433014560676133260e+06,2.278648082523373856e-03
58,0.64,CPG,6.906174821146965027e+06,2.387965122803481499e-03
59,0.65,CPG,6.973142078542767229e-07,2.355071417270000570e-16
60,0.66,CPG,1.440507305707339896e+06,4.754946218212951093e-04
61,0.67,CPG,1.283895193373666145e+06,4.144036048233734962e-04
62,0.68,CPG,1.149297751408863114e+06,3.629024865088851149e-04
63,0.69,CPG,1.045254351472659851e+06,3.230241714021048465e-04
64,0.7,CPG,9.815358884119578870e+05,2.970024527801630671e-04
65,0.71,CPG,9.662644548470706213e+05,2.863974400162080697e-04
66,0.72,CPG,1.001697975783519447e+06,2.909385564668466400e-04
67,0.73,CPG,1.049752168456170009e+06,2.988881094646383377e-04
68,0.74,CPG,5.520499506280385087e-07,1.541410014154447834e-16
69,0.75,CPG,4.242393048729264177e+06,1.162052082235104367e-03
70,0.76,CPG,6.218796784399275291e-07,1.671731876165721510e-16
71,0.77,CPG,3.123066283595720306e+06,8.242528925026008316e-04
72,0.78,CPG,3.060632978677712847e+06,7.933207581230824600e-04
73,0.79,CPG,3.100603803069167305e+06,7.895390586701403783e-04
74,0.8,CPG,3.239190045687016100e+06,8.105521805215923315e-04
75,0.81,CPG,3.464577731206623837e+06,8.521883516099434518e-04
76,0.82,CPG,3.761194498307968024e+06,9.096443089221169795e-04
77,0.83,CPG,4.113661083862428553e+06,9.784780105431944291e-04
78,0.84,CPG,4.508804894675563090e+06,1.055051203278711131e-03
79,0.85,CPG,4.936190709347238764e+06,1.136587956282656027e-03
80,0.86,CPG,5.388050784340485930e+06,1.221091362978318296e-03
81,0.87,CPG,5.858656977778178640e+06,1.307143330913446361e-03
82,0.88,CPG,6.334412918057607487e+06,1.391683785222538579e-03
83,0.89,CPG,6.381343357356216758e+06,1.380871285956402532e-03
84,0.9,CPG,6.541518291153036058e+06,1.394509405996135739e-03
85,0.91,CPG,5.491979076512442902e+06,1.153631390373049872e-03
86,0.92,CPG,3.099552576221307751e-07,6.416944466667861233e-17
87,0.93,CPG,4.069996624468227383e+06,8.306446415975699514e-04
88,0.94,CPG,2.034257196873947894e-07,4.093722274633739792e-17
89,0.95,CPG,1.945658370238948613e+06,3.861485949141778198e-04
90,0.96,CPG,1.859150748955607414e+06,3.639633895721714764e-04
91,0.97,CPG,1.487320599165109918e+06,2.872631190249317875e-04
92,0.98,CPG,1.115490449374151416e+06,2.125926812878355002e-04
93,0.99,CPG,7.436602995825335383e+05,1.398741335729560909e-04
94,1,CPG,3.718301497916091466e+05,6.903339181072591418e-05
95,1.01,CPG,2.009416692102119573e-05,3.683037721714293753e-15
