method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices,selected_radii
Angular Defect Greedy,16,16,1.910544925334037997e-02,0.021616972,0.038972782,1.910544925334037997e-02,5.084286216281990942e-03,1.973194120450620127e-03,6.745815247752069699e-02,1.763582758320329444e-02,6.577366184383834011e-03,8.539708746175187631e-03,2.790172396079106196e-03,2.518618652323836057e-16,6.745815247752069699e-02,4.185768604640591889e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91]"
CPG,17,17,1.910544925334037997e-02,0.015487212,0.034719068,1.910544925334037997e-02,5.018437946110215070e-03,1.766064887214231684e-03,6.745815247752069699e-02,1.741366486651119844e-02,5.915791623912914493e-03,7.648528207205887788e-03,2.432062004570393135e-03,2.367903562679364615e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07]"
Angular Defect Greedy,17,17,1.910544925334037997e-02,0.023457534,0.042576033,1.910544925334037997e-02,5.018437946110215070e-03,1.766064887214231684e-03,6.745815247752069699e-02,1.741366486651120191e-02,5.915791623912914493e-03,7.648528207205909472e-03,2.432062004570394870e-03,2.367903562679364615e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07]"
CPG,18,18,1.910544925334037997e-02,0.016728320,0.037812254,1.910544925334037997e-02,4.870896936174274813e-03,1.065997919300740735e-03,6.745815247752069699e-02,1.692780977900069581e-02,3.520803824798715304e-03,7.152999968485263503e-03,1.648424766650225838e-03,2.353740490344634173e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96]"
Angular Defect Greedy,18,18,1.910544925334037997e-02,0.025269456,0.046204792,1.910544925334037997e-02,4.870896936174275681e-03,1.065997919300740735e-03,6.745815247752069699e-02,1.692780977900069581e-02,3.520803824798715304e-03,7.152999968485263503e-03,1.648424766650226705e-03,2.353740490344634173e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96]"
CPG,19,19,1.910544925334037997e-02,0.018057528,0.041450896,1.910544925334037997e-02,4.825745055230443691e-03,8.782028113686916534e-04,6.745815247752069699e-02,1.678157347942675973e-02,2.873786630289826977e-03,7.052138354798710707e-03,1.412559767337426752e-03,2.353740490344634173e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9]"
Angular Defect Greedy,19,19,1.910544925334037997e-02,0.027182189,0.050114771,1.910544925334037997e-02,4.825745055230444558e-03,8.782028113686934966e-04,6.745815247752069699e-02,1.678157347942675973e-02,2.873786630289832181e-03,7.052138354798710707e-03,1.412559767337428053e-03,2.353740490344634173e-16,6.745815247752069699e-02,4.185733269388830502e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9]"
CPG,20,20,1.910544925334037997e-02,0.019419338,0.044821957,1.910544925334037997e-02,4.779907975129104973e-03,7.975209718545611497e-04,6.745815247752069699e-02,1.662698782335935571e-02,2.633832918843469206e-03,5.917529560592528493e-03,1.166664603336736890e-03,1.644866546860080642e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06]"
Angular Defect Greedy,20,20,1.910544925334037997e-02,0.029148290,0.054050459,1.910544925334037997e-02,4.779907975129104973e-03,7.975209718545628844e-04,6.745815247752069699e-02,1.662698782335935571e-02,2.633832918843474844e-03,5.917529560592528493e-03,1.166664603336737757e-03,1.644866546860080642e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06]"
CPG,21,21,1.910544925334037997e-02,0.020840115,0.048788878,1.910544925334037997e-02,4.701633495522692524e-03,5.914679835255624591e-04,6.745815247752069699e-02,1.636650118236020190e-02,1.982964026869965708e-03,5.885893671068370692e-03,7.465248597897161317e-04,1.564549530535249163e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0]"
Angular Defect Greedy,21,21,1.910544925334037997e-02,0.031170436,0.058150176,1.910544925334037997e-02,4.735698609688620761e-03,7.142776118350867504e-04,6.745815247752069699e-02,1.647840113424808850e-02,2.361620035233383957e-03,5.528980405487362616e-03,9.270086531572727323e-04,1.564549530535249163e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05]"
CPG,22,22,1.910544925334037997e-02,0.022297366,0.052261542,1.910544925334037997e-02,4.665393191322625595e-03,4.291717134798028006e-04,6.745815247752069699e-02,1.624446331398479021e-02,1.431191141334566073e-03,3.048712470414815905e-03,5.496895882164726157e-04,1.481802455266760109e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05]"
Angular Defect Greedy,22,22,1.910544925334037997e-02,0.033218526,0.062233777,1.910544925334037997e-02,4.665393191322625595e-03,4.291717134798028006e-04,6.745815247752069699e-02,1.624446331398479021e-02,1.431191141334566073e-03,3.048712470414815905e-03,5.496895882164735915e-04,1.481802455266760109e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0]"
CPG,23,23,1.910544925334037997e-02,0.023756531,0.056051828,1.910544925334037997e-02,4.643513451610630990e-03,3.085859682709716492e-04,6.745815247752069699e-02,1.617274528044896492e-02,1.023179788584019628e-03,2.294499008461052363e-03,4.340153405780470988e-04,1.307637261282080591e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95]"
Angular Defect Greedy,23,23,1.910544925334037997e-02,0.035296752,0.066439984,1.910544925334037997e-02,4.643513451610630990e-03,3.085859682709716492e-04,6.745815247752069699e-02,1.617274528044896492e-02,1.023179788584019628e-03,2.294499008461052363e-03,4.340153405780472614e-04,1.307637261282080591e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95]"
CPG,24,24,1.910544925334037997e-02,0.025291311,0.059699829,1.910544925334037997e-02,4.628257688352876639e-03,2.567044460793370029e-04,6.745815247752069699e-02,1.612283471620033770e-02,8.483182017769236522e-04,2.240372228334210070e-03,3.535144304996115758e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94]"
