configuration,method,epsilon,R,final_max_residual,final_max_relative_residual,train_max_rel,test_max_rel,elapsed_seconds
means_40_50,ADG,1.000000000000000048e-04,2,6.405609952769881917e-15,7.241336699604196187e-16,7.241336699604196187e-16,6.021782940242857207e-16,0.293741
means_40_50,CPG,1.000000000000000082e-05,6,1.156353726893645521e-14,9.775911537863698057e-16,9.775911537863698057e-16,6.758208648810851811e-16,1.793922
means_40_50,ADG,1.000000000000000082e-05,2,6.405609952769881917e-15,7.241336699604196187e-16,7.241336699604196187e-16,6.021782940242857207e-16,0.416831
means_40_50,CPG,9.999999999999999547e-07,6,1.156353726893645521e-14,9.775911537863698057e-16,9.775911537863698057e-16,6.758208648810851811e-16,1.959613
means_40_50,ADG,9.999999999999999547e-07,2,6.405609952769881917e-15,7.241336699604196187e-16,7.241336699604196187e-16,6.021782940242857207e-16,0.435388
means_50_60,CPG,1.000000000000000021e-02,6,2.038162488630724471e-03,3.104436127293777430e-04,8.067529746018717630e-16,3.104436127293777430e-04,2.010541
means_50_60,ADG,1.000000000000000021e-02,2,2.038162488630740083e-03,3.104436127293801282e-04,8.814171319137687234e-16,3.104436127293801282e-04,0.365603
means_50_60,CPG,1.000000000000000021e-03,6,2.038162488630724471e-03,3.104436127293777430e-04,8.067529746018717630e-16,3.104436127293777430e-04,1.859693
means_50_60,ADG,1.000000000000000021e-03,2,2.038162488630740083e-03,3.104436127293801282e-04,8.814171319137687234e-16,3.104436127293801282e-04,0.326455
means_50_60,CPG,1.000000000000000048e-04,6,2.038162488630724471e-03,3.104436127293777430e-04,8.067529746018717630e-16,3.104436127293777430e-04,1.829174
means_50_60,ADG,1.000000000000000048e-04,2,2.038162488630740083e-03,3.104436127293801282e-04,8.814171319137687234e-16,3.104436127293801282e-04,0.305406
means_50_60,CPG,1.000000000000000082e-05,6,2.038162488630724471e-03,3.104436127293777430e-04,8.067529746018717630e-16,3.104436127293777430e-04,1.697517
means_50_60,ADG,1.000000000000000082e-05,2,2.038162488630740083e-03,3.104436127293801282e-04,8.814171319137687234e-16,3.104436127293801282e-04,0.262541
means_50_60,CPG,9.999999999999999547e-07,6,2.038162488630724471e-03,3.104436127293777430e-04,8.067529746018717630e-16,3.104436127293777430e-04,1.579538
means_50_60,ADG,9.999999999999999547e-07,2,2.038162488630740083e-03,3.104436127293801282e-04,8.814171319137687234e-16,3.104436127293801282e-04,0.297340
means_20_50_80,CPG,1.000000000000000021e-02,15,1.470396053267050140e-01,2.722500217752971824e-02,1.428102352015792054e-03,2.722500217752971824e-02,5.996076
means_20_50_80,ADG,1.000000000000000021e-02,11,1.470396053267050418e-01,2.722500217752972171e-02,1.428102352015791837e-03,2.722500217752972171e-02,4.293264
means_20_50_80,CPG,1.000000000000000021e-03,19,1.441945553076593445e-01,2.669822918469149514e-02,8.156740769451918128e-16,2.669822918469149514e-02,8.848857
means_20_50_80,ADG,1.000000000000000021e-03,16,1.441945553076593167e-01,2.669822918469149167e-02,8.684512016115956179e-16,2.669822918469149167e-02,6.744203
means_20_50_80,CPG,1.000000000000000048e-04,19,1.441945553076593445e-01,2.669822918469149514e-02,8.156740769451918128e-16,2.669822918469149514e-02,8.423903
means_20_50_80,ADG,1.000000000000000048e-04,16,1.441945553076593167e-01,2.669822918469149167e-02,8.684512016115956179e-16,2.669822918469149167e-02,6.719615
means_20_50_80,CPG,1.000000000000000082e-05,19,1.441945553076593445e-01,2.669822918469149514e-02,8.156740769451918128e-16,2.669822918469149514e-02,8.280602
means_20_50_80,ADG,1.000000000000000082e-05,16,1.441945553076593167e-01,2.669822918469149167e-02,8.684512016115956179e-16,2.669822918469149167e-02,7.369359
means_20_50_80,CPG,9.999999999999999547e-07,19,1.441945553076593445e-01,2.669822918469149514e-02,8.156740769451918128e-16,2.669822918469149514e-02,8.283207
means_20_50_80,ADG,9.999999999999999547e-07,16,1.441945553076593167e-01,2.669822918469149167e-02,8.684512016115956179e-16,2.669822918469149167e-02,6.641113
