method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices
Angular Defect Greedy,13,13,1.637085044278185368e+08,4.382666879,4.935435029,1.637085044278185368e+08,6.292000817644536495e+07,5.351382348541345447e+07,4.782734918050581679e-02,2.643822530530396883e-02,3.025346757795243161e-02,4.782734918050581679e-02,2.643822530530396883e-02,3.025346757795243161e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7]"
CPG,14,14,2.378696827815872803e+07,3.680509752,4.443270168,2.378696827815872803e+07,7.409514044170568697e+06,5.440016262600345537e+06,7.634648926837139804e-01,3.334241234273498805e-02,1.523583431960455047e-03,7.634648926837139804e-01,3.334241234273498805e-02,1.523583431960455047e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38]"
Angular Defect Greedy,14,14,1.637085044278185368e+08,5.039147491,5.688795298,1.637085044278185368e+08,6.227383688700840622e+07,5.351382348541345447e+07,4.707706694580109791e-02,2.509789128373450875e-02,2.789781028240187477e-02,4.707706694580109791e-02,2.509789128373450875e-02,2.789781028240187477e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19]"
CPG,15,15,2.314638724508606270e+07,3.953616764,4.837116731,2.314638724508606270e+07,6.922632889367222786e+06,4.917819560079216957e+06,7.634648926837139804e-01,3.293477168918707704e-02,1.442950929786014592e-03,7.634648926837139804e-01,3.293477168918707704e-02,1.442950929786014592e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33]"
Angular Defect Greedy,15,15,1.637085044278185368e+08,5.682315399,6.429720165,1.637085044278185368e+08,6.216128105805293471e+07,5.351382348541345447e+07,4.658650646506345971e-02,2.450299978346641774e-02,2.721437802498265918e-02,4.658650646506345971e-02,2.450299978346641774e-02,2.721437802498265918e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9]"
CPG,16,16,2.238206819339402765e+07,4.219572791,5.240668693,2.238206819339402765e+07,6.276461086385351606e+06,4.779510158203418367e+06,7.634648926837139804e-01,3.159443736678860942e-02,1.393096737568532209e-03,7.634648926837139804e-01,3.159443736678860942e-02,1.393096737568532209e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19]"
Angular Defect Greedy,16,16,1.146556495898026228e+08,6.390211885,7.251869822,1.146556495898026228e+08,4.065528425307176262e+07,3.421043076215448231e+07,4.407484813575879984e-02,1.781704410880854267e-02,1.852904618320620755e-02,4.407484813575879984e-02,1.781704410880854267e-02,1.852904618320620755e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59]"
CPG,17,17,2.079086158115830272e+07,4.492490598,5.659089848,2.079086158115830272e+07,5.724310379170328379e+06,4.615227488341921940e+06,6.928729415748224874e-01,2.266070672860246923e-02,1.386277676593046775e-03,6.928729415748224874e-01,2.266070672860246923e-02,1.386277676593046775e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5]"
Angular Defect Greedy,17,17,1.146556495898026228e+08,7.015284644,7.993719974,1.146556495898026228e+08,3.973893710409731418e+07,3.113655970409648865e+07,4.372917871353351749e-02,1.668343620548500342e-02,1.840166441019619806e-02,4.372917871353351749e-02,1.668343620548500342e-02,1.840166441019619806e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27]"
CPG,18,18,2.023803765136409178e+07,4.784752679,6.107666278,2.023803765136409178e+07,5.195772849515038542e+06,4.539843596020493656e+06,6.928729415748224874e-01,2.063774766974926442e-02,1.369289370343680949e-03,6.928729415748224874e-01,2.063774766974926442e-02,1.369289370343680949e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12]"
Angular Defect Greedy,18,18,1.146556495898026228e+08,7.699992414,8.805342865,1.146556495898026228e+08,3.624136691560012847e+07,2.228319732096484676e+07,3.993790309377615033e-02,1.440036241783368941e-02,1.578069402795791859e-02,3.993790309377615033e-02,1.440036241783368941e-02,1.578069402795791859e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38]"
CPG,19,19,1.557056181901981868e+07,5.006467988,6.496517101,1.557056181901981868e+07,4.828886061321143992e+06,4.329304022566907108e+06,6.928729415748224874e-01,2.024667155292913037e-02,1.347546375963664961e-03,6.928729415748224874e-01,2.024667155292913037e-02,1.347546375963664961e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29]"
Angular Defect Greedy,19,19,1.146556495898026228e+08,8.156417718,9.406168170,1.146556495898026228e+08,3.604637660515374690e+07,2.228319732096484676e+07,3.082163814752721109e-02,1.375073458278685233e-02,1.566681549255027894e-02,3.082163814752721109e-02,1.375073458278685233e-02,1.566681549255027894e-02,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13]"
CPG,20,20,1.307541082033032179e+07,5.226520647,6.882346656,1.307541082033032179e+07,4.551781682822380215e+06,4.028102351084856782e+06,6.928729415748224874e-01,1.983493457190740883e-02,1.322264389625790910e-03,6.928729415748224874e-01,1.983493457190740883e-02,1.322264389625790910e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25]"
Angular Defect Greedy,20,20,8.010697390219487250e+07,8.623634009,10.056515052,8.010697390219487250e+07,2.086305594040245190e+07,1.229958403910301253e+07,3.023371120716247112e-02,9.755679970015192909e-03,8.297433359632472999e-03,3.023371120716247112e-02,9.755679970015192909e-03,8.297433359632472999e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70]"
CPG,21,21,1.235188246571318619e+07,5.501375300,7.359096780,1.235188246571318619e+07,4.415579480694518425e+06,3.861386967766663991e+06,6.928729415748224874e-01,1.967789547433859698e-02,1.303315804577556474e-03,6.928729415748224874e-01,1.967789547433859698e-02,1.303315804577556474e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28]"
Angular Defect Greedy,21,21,8.010697390219487250e+07,9.100939466,10.741324511,8.010697390219487250e+07,2.079607367716369405e+07,1.229958403910301253e+07,2.917245286380605249e-02,9.440745478164029592e-03,8.184642550880243117e-03,2.917245286380605249e-02,9.440745478164029592e-03,8.184642550880243117e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10]"
CPG,22,22,1.230975138892018236e+07,5.724652395,7.755680435,1.230975138892018236e+07,4.219244994347794913e+06,3.770712418114872649e+06,6.928729415748224874e-01,1.875137043223410599e-02,1.290969199463409649e-03,6.928729415748224874e-01,1.875137043223410599e-02,1.290969199463409649e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10]"
Angular Defect Greedy,22,22,8.010697342248669267e+07,9.565341833,11.386891625,8.010697342248669267e+07,2.060080656886960939e+07,1.216216490708453208e+07,2.717609350252382996e-02,8.977441451931978886e-03,7.921190734036609102e-03,2.717609350252382996e-02,8.977441451931978886e-03,7.921190734036609102e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17]"
CPG,23,23,1.190454993619256094e+07,5.946476776,8.149657883,1.190454993619256094e+07,4.023977917140302714e+06,3.612886114757295698e+06,6.928729415748224874e-01,1.828806638494800269e-02,1.258125232318592444e-03,6.928729415748224874e-01,1.828806638494800269e-02,1.258125232318592444e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17]"
Angular Defect Greedy,23,23,8.010695404102645814e+07,10.033638081,12.040980785,8.010695404102645814e+07,1.958200306198911741e+07,1.078866690156727470e+07,2.439537993137202987e-02,8.207049032968921978e-03,6.048868182762458592e-03,2.439537993137202987e-02,8.207049032968921978e-03,6.048868182762458592e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35]"
CPG,24,24,1.108905916556917317e+07,6.167858150,8.511722859,1.108905916556917317e+07,3.844984076560289133e+06,3.462463520815955009e+06,5.202341493278574980e-01,1.149809969602776094e-02,1.227445862535271257e-03,5.202341493278574980e-01,1.149809969602776094e-02,1.227445862535271257e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3]"
Angular Defect Greedy,24,24,8.010695404102645814e+07,10.561150014,12.836182703,8.010695404102645814e+07,1.590541277414929308e+07,6.857362057561282068e+06,2.430377417546866065e-02,6.707701533672002364e-03,2.277848991633239784e-03,2.430377417546866065e-02,6.707701533672002364e-03,2.277848991633239784e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51]"
CPG,25,25,1.104592426456299983e+07,6.389591725,8.992168295,1.104592426456299983e+07,3.640527558465701994e+06,3.439008202178258449e+06,5.202341493278574980e-01,1.112446842011614000e-02,1.199096621302466695e-03,5.202341493278574980e-01,1.112446842011614000e-02,1.199096621302466695e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21]"
Angular Defect Greedy,25,25,8.010695403153182566e+07,11.097740628,13.593024658,8.010695403153182566e+07,1.583681563354651630e+07,6.857362057561282068e+06,2.311659277301739840e-02,6.454537218743946342e-03,2.251382976314029311e-03,2.311659277301739840e-02,6.454537218743946342e-03,2.251382976314029311e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12]"
CPG,26,26,9.284991309518363327e+06,6.634968108,9.452617903,9.284991309518363327e+06,3.525465812906369567e+06,3.367444083993101958e+06,5.202341493278574980e-01,1.096850409205001563e-02,1.165366630673307560e-03,5.202341493278574980e-01,1.096850409205001563e-02,1.165366630673307560e-03,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26]"
Angular Defect Greedy,26,26,8.010695221154728532e+07,11.633329528,14.346426166,8.010695221154728532e+07,1.555971095913593657e+07,6.308647036751910113e+06,2.251533272237703220e-02,6.042800123067086117e-03,2.198161355654091806e-03,2.251533272237703220e-02,6.042800123067086117e-03,2.198161355654091806e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25]"
CPG,27,27,8.780317491030935198e+06,6.865451569,9.899705638,8.780317491030935198e+06,3.135904808353375178e+06,3.111835043332443573e+06,5.202341493278574980e-01,1.089180343692048615e-02,9.440611597326554333e-04,5.202341493278574980e-01,1.089180343692048615e-02,9.440611597326554333e-04,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88]"
Angular Defect Greedy,27,27,8.010695221154728532e+07,12.182096661,15.084963266,8.010695221154728532e+07,1.410764078453306295e+07,5.041205339374533854e+06,2.170308976977168569e-02,5.215337253516111327e-03,1.922669539913015885e-03,2.170308976977168569e-02,5.215337253516111327e-03,1.922669539913015885e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41]"
CPG,28,28,8.694307396401926875e+06,7.084164542,10.351716062,8.694307396401926875e+06,3.022977547994384542e+06,3.080618390873438679e+06,5.202341493278574980e-01,9.971856603759101170e-03,8.809163302660300530e-04,5.202341493278574980e-01,9.971856603759101170e-03,8.809163302660300530e-04,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7]"
Angular Defect Greedy,28,28,8.010694345050106943e+07,12.771269325,15.915570945,8.010694345050106943e+07,1.374075199702514149e+07,4.825105083799782209e+06,2.028890573895509794e-02,4.824260586081441544e-03,1.818400877179094082e-03,2.028890573895509794e-02,4.824260586081441544e-03,1.818400877179094082e-03,nan,nan,nan,"[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41, 29]","[2, 95, 5, 15, 3, 8, 31, 4, 23, 11, 6, 46, 7, 19, 9, 59, 27, 38, 13, 70, 10, 17, 35, 51, 12, 25, 41, 29]"
CPG,29,29,8.510032467270344496e+06,7.310575976,10.805311398,8.510032467270344496e+06,2.591353418834322598e+06,1.811869388864923269e+06,5.202341493278574980e-01,9.846076208400077190e-03,5.614084443632596242e-04,5.202341493278574980e-01,9.846076208400077190e-03,5.614084443632596242e-04,nan,nan,nan,"[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7, 68]","[95, 45, 27, 70, 59, 15, 86, 35, 51, 41, 8, 31, 23, 38, 33, 19, 5, 12, 29, 25, 28, 10, 17, 3, 21, 26, 88, 7, 68]"
