row,split,displacement_mm,method,residual,relative
50,train,0.56,CPG,2.519882165159567259e+06,1.075195045642085958e-03
51,train,0.57,CPG,1.786436488412234544e-07,7.405936256424513368e-17
52,train,0.58,CPG,3.317221074054973200e+06,1.337385427701958014e-03
53,train,0.59,CPG,3.460349310425285250e+06,1.357707324225372126e-03
54,train,0.6,CPG,3.942543597611549310e+06,1.506450780868286805e-03
55,train,0.61,CPG,4.659567683495054953e+06,1.734970031761224902e-03
56,train,0.62,CPG,5.516408096878074110e+06,2.002785971139067148e-03
57,train,0.63,CPG,6.433014652851054445e+06,2.278648115172796085e-03
58,train,0.64,CPG,6.906174926108724438e+06,2.387965159096368164e-03
59,train,0.65,CPG,6.119243883919554688e-07,2.066680443908987724e-16
60,train,0.66,CPG,1.490696880027528387e+06,4.920616135791267606e-04
61,train,0.67,CPG,1.457074136528285919e+06,4.703006739090505187e-04
62,train,0.68,CPG,1.518619569380597910e+06,4.795196171868376352e-04
63,train,0.69,CPG,1.664811779037513770e+06,5.144914677526919982e-04
64,train,0.7,CPG,1.875964719468246680e+06,5.676472247108228742e-04
65,train,0.71,CPG,2.132869286489695776e+06,6.321750743035697102e-04
66,train,0.72,CPG,2.420913000645956025e+06,7.031430139297530080e-04
67,train,0.73,CPG,2.706955714007870760e+06,7.707313212357453378e-04
68,train,0.74,CPG,2.378542259479857981e+06,6.641262903258720847e-04
69,train,0.75,CPG,5.873978964603623770e-07,1.608966780875575730e-16
70,train,0.76,CPG,1.277739841824127726e-09,3.434809814629886828e-19
71,train,0.77,CPG,2.744856369089293759e+06,7.244341286029876712e-04
72,train,0.78,CPG,2.195885095274966676e+06,5.691767816235610272e-04
73,train,0.79,CPG,1.646913821455869591e+06,4.193708293255628858e-04
74,train,0.8,CPG,1.097942547637541313e+06,2.747414364464341192e-04
75,train,0.81,CPG,5.489712738184937043e+05,1.350314414084918997e-04
76,train,0.82,CPG,6.195514492379660989e-07,1.498384223781293700e-16
77,test,0.83,CPG,1.518163953924817033e+07,3.611114321357698168e-03
78,test,0.84,CPG,3.036327907849349827e+07,7.104945739630852755e-03
79,test,0.85,CPG,4.554491861773218960e+07,1.048699473315803724e-02
80,test,0.86,CPG,6.072655815698314458e+07,1.376243072622953569e-02
81,test,0.87,CPG,7.590819769622789323e+07,1.693611603420972986e-02
82,test,0.88,CPG,9.108920703897865117e+07,2.001248956845671015e-02
83,test,0.89,CPG,1.062415390219852477e+08,2.298981302144760194e-02
84,test,0.9,CPG,1.213990081659916043e+08,2.587962782203531015e-02
85,test,0.91,CPG,1.363982755985394716e+08,2.865148066499066323e-02
86,test,0.92,CPG,1.505965023362254798e+08,3.117770609150580241e-02
87,test,0.93,CPG,1.629636669013139606e+08,3.325921595926484287e-02
88,test,0.94,CPG,1.735148469839465916e+08,3.491798358483880205e-02
89,test,0.95,CPG,1.843901466387273371e+08,3.659532276050053018e-02
90,test,0.96,CPG,1.958284370172088742e+08,3.833706424906252463e-02
91,test,0.97,CPG,2.078875961670030653e+08,4.015169245625389155e-02
92,test,0.98,CPG,2.204817906620118022e+08,4.201991606317960481e-02
93,test,0.99,CPG,2.335244716617575586e+08,4.392332515277095478e-02
94,test,1,CPG,2.469445872948403060e+08,4.584733771539743069e-02
95,test,1.01,CPG,2.606838525906025469e+08,4.778045620436223440e-02
