method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices
CPG,7,7,6.321048197030131519e+07,1.526983566,1.601272350,2.606838525906025171e+08,4.808936965869524330e+07,3.022975665208399296e+07,7.993569188551038485e-01,5.597285172591372898e-02,2.042929960086553587e-02,7.993569188551038485e-01,6.272660691972810343e-02,1.731425432508546317e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31]","[76, 38, 23, 59, 51, 12, 31]"
Angular Defect Greedy,7,7,1.772774822403398454e+08,0.936286853,1.011617397,2.606838525906025171e+08,9.317097690464437008e+07,9.092913027177540958e+07,1.272898251501219935e-01,4.760604239608843408e-02,4.699836640689128431e-02,1.272898251501219935e-01,5.229526022280306385e-02,6.083488844402318990e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8]","[2, 76, 5, 14, 3, 28, 8]"
CPG,8,8,5.844538299170906097e+07,1.568835356,1.662031779,2.606838525906025171e+08,4.268603464672681689e+07,2.254950052662318200e+07,7.993569188551038485e-01,5.445935900731840862e-02,2.042929960086553587e-02,7.993569188551038485e-01,6.083965495888199460e-02,1.710377130961360237e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69]","[76, 38, 23, 59, 51, 12, 31, 69]"
Angular Defect Greedy,8,8,1.772774822403398454e+08,1.161615947,1.262311274,2.606838525906025171e+08,9.310201689716947079e+07,9.092913027177540958e+07,8.713103829323104454e-02,4.628010671744132304e-02,4.603180716240888593e-02,8.713103829323104454e-02,5.064214561046383178e-02,5.927656881862201216e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4]","[2, 76, 5, 14, 3, 28, 8, 4]"
CPG,9,9,3.669057093981529772e+07,1.635214713,1.749821383,2.606838525906025171e+08,3.948990615068983287e+07,1.751283850401012972e+07,7.993569188551038485e-01,5.286811395365278304e-02,1.585341012448648196e-02,7.993569188551038485e-01,5.885576502184432929e-02,5.312311047261552427e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45]","[76, 38, 23, 59, 51, 12, 31, 69, 45]"
Angular Defect Greedy,9,9,1.269109042701134533e+08,1.418205324,1.538543148,2.606838525906025171e+08,6.905693714717277884e+07,5.053416398287143558e+07,8.503070428847593620e-02,3.404048774812015732e-02,3.518373841220642784e-02,8.503070428847593620e-02,3.538236092144002309e-02,3.590969415133614395e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41]","[2, 76, 5, 14, 3, 28, 8, 4, 41]"
CPG,10,10,3.630222354670607299e+07,1.698795780,1.838320818,2.606838525906025171e+08,3.816517827106231451e+07,1.221455764411849156e+07,7.993569188551038485e-01,5.211126358169852063e-02,1.212471272969378733e-02,7.993569188551038485e-01,5.791215936330397496e-02,2.278678449469025494e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41]"
Angular Defect Greedy,10,10,1.269109042701134533e+08,1.664293208,1.806797244,2.606838525906025171e+08,6.894283934360389411e+07,5.053416398287143558e+07,8.039216210921168448e-02,3.297179786171954702e-02,3.470150527460974521e-02,8.039216210921168448e-02,3.404996833579770898e-02,3.550989239639361361e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6]"
CPG,11,11,3.612466205562555045e+07,1.782468869,1.949074347,2.606838525906025171e+08,3.725243802597593516e+07,1.195358684457699582e+07,7.993569188551038485e-01,5.103303599388350070e-02,9.443841034720158734e-03,7.993569188551038485e-01,5.656787561745665882e-02,2.221454481258366368e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28]"
Angular Defect Greedy,11,11,1.269109042701134533e+08,1.933262067,2.100117377,2.606838525906025171e+08,6.662762057084041834e+07,5.053416398287143558e+07,7.616558522068864190e-02,2.863759590688814624e-02,3.199051630478574881e-02,7.616558522068864190e-02,2.864628797652738618e-02,3.232531221910941999e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20]"
CPG,12,12,3.559400965647842735e+07,1.868076665,2.064703202,2.606838525906025171e+08,3.623363971684210747e+07,9.154971096626928076e+06,7.993569188551038485e-01,5.026264476434771228e-02,3.656752192974063037e-03,7.993569188551038485e-01,5.560738785076269064e-02,1.899499165041004540e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35]"
Angular Defect Greedy,12,12,1.269109042701134533e+08,2.179975089,2.374307993,2.606838525906025171e+08,6.626566013219667226e+07,5.053416398287143558e+07,5.058912382211893516e-02,2.701970686823092563e-02,3.116645562551711296e-02,5.058912382211893516e-02,2.662917956469500885e-02,3.115520515952842698e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10]"
CPG,13,13,3.065666125935135782e+07,1.940581532,2.171499777,2.606838525906025171e+08,3.484576226221314073e+07,8.398535356283195317e+06,7.476171637836963590e-01,3.698980819306429274e-02,3.263103102975875927e-03,7.476171637836963590e-01,3.905943576188986022e-02,1.893043895986654514e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7]"
Angular Defect Greedy,13,13,1.269109042701134533e+08,2.465722700,2.691242612,2.606838525906025171e+08,6.619776894453243166e+07,5.053416398287143558e+07,4.847951193117901875e-02,2.649273682841718491e-02,3.102857368226432169e-02,4.847951193117901875e-02,2.597217795661554973e-02,3.090194220500021641e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7]"
CPG,14,14,2.378696827815872431e+07,2.036452983,2.305564214,2.606838525906025171e+08,3.366378274262726307e+07,7.485614491864953190e+06,7.476171637836963590e-01,3.430482055193686403e-02,2.691524592238747886e-03,7.476171637836963590e-01,3.571191870282190012e-02,1.790223895631682391e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18]"
Angular Defect Greedy,14,14,1.269109042701134533e+08,2.762593383,3.022636302,2.606838525906025171e+08,6.359511311212525517e+07,3.679537390230630338e+07,4.778045620436223440e-02,2.437766734626480025e-02,2.524727234730479719e-02,4.621587351710566144e-02,2.333520821263335154e-02,2.482757080208158537e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33]"
CPG,15,15,2.169504787062354013e+07,2.130611251,2.442696425,2.606838525906025171e+08,3.317690151289199665e+07,6.595523433778967708e+06,7.476171637836963590e-01,3.389717972260711254e-02,2.333309598004323568e-03,7.476171637836963590e-01,3.520369117534583731e-02,1.576670958878881312e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33]"
Angular Defect Greedy,15,15,8.838499647639752924e+07,3.081029340,3.378482566,2.606838525906025171e+08,5.107262780469813198e+07,2.762756567170270160e+07,4.778045620436223440e-02,1.952406084960966667e-02,1.977996080662898504e-02,4.563955933291212463e-02,1.728395855446591273e-02,1.861894456571364098e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51]"
CPG,16,16,1.891078305330388248e+07,2.236446955,2.603557018,2.606838525906025171e+08,3.280423591896085069e+07,6.334097366900959052e+06,7.476171637836963590e-01,3.338625268723047906e-02,2.250051982620915499e-03,7.476171637836963590e-01,3.456669123513601144e-02,1.506450780868287022e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26]"
Angular Defect Greedy,16,16,8.838499647639752924e+07,3.409761100,3.752564264,2.606838525906025171e+08,5.087726150682714581e+07,2.762756567170270160e+07,4.778045620436223440e-02,1.880180574625446924e-02,1.965290362108489466e-02,4.309813702961566573e-02,1.638348465937371906e-02,1.835298569080403078e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12]"
CPG,17,17,1.804073577810347080e+07,2.352705458,2.769059413,2.606838525906025171e+08,3.239654900360039994e+07,5.639606227473214269e+06,6.375191942199962547e-01,2.444610351887109567e-02,2.196033821130015558e-03,6.375191942199962547e-01,2.342053123302561060e-02,1.394799321127059141e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4]"
Angular Defect Greedy,17,17,8.838499647639752924e+07,3.752595203,4.139286911,2.606838525906025171e+08,5.002927526082000881e+07,2.676227522769832984e+07,4.778045620436223440e-02,1.751894395697724954e-02,1.909544841312879604e-02,4.114859346275522023e-02,1.478407255845666686e-02,1.733360775090719841e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25]"
CPG,18,18,1.493557787311414629e+07,2.455556019,2.924612130,2.606838525906025171e+08,3.200636928353194520e+07,5.496967277941563167e+06,6.375191942199962547e-01,2.335881940801036102e-02,2.086693499392607704e-03,6.375191942199962547e-01,2.206495623766676489e-02,1.357707324225372126e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15]"
Angular Defect Greedy,18,18,8.838499647639752924e+07,4.083292626,4.520711940,2.606838525906025171e+08,4.965247593273681402e+07,2.676227522769832984e+07,4.778045620436223440e-02,1.662288783883177773e-02,1.848596512825883414e-02,3.613620276678853466e-02,1.366691168388568800e-02,1.632429260149051431e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17]"
CPG,19,19,1.413820275897492468e+07,2.609336434,3.135127869,2.606838525906025171e+08,3.172346653030380607e+07,5.190134754169456661e+06,6.375191942199962547e-01,2.197509816641071700e-02,1.951142790085512316e-03,6.375191942199962547e-01,2.033979728710098162e-02,1.337385427701958014e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10]"
Angular Defect Greedy,19,19,8.838499647639752924e+07,4.332125939,4.822324397,2.606838525906025171e+08,4.958313971718031168e+07,2.676227522769832984e+07,4.778045620436223440e-02,1.624646906001106159e-02,1.801169467542259109e-02,2.985067227549920502e-02,1.319761034925206328e-02,1.542954505472602170e-02,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9]"
CPG,20,20,1.378412611833336204e+07,2.762544630,3.352730814,2.606838525906025171e+08,3.144738357384626195e+07,4.781156015352061018e+06,6.375191942199962547e-01,2.144728264805095472e-02,1.896271530513829635e-03,6.375191942199962547e-01,1.968174157589919898e-02,1.299488259004922012e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20]"
Angular Defect Greedy,20,20,6.321041258978006244e+07,4.589202257,5.145798024,2.606838525906025171e+08,4.146360911806575209e+07,1.560231210492811538e+07,4.778045620436223440e-02,1.355041526955746110e-02,1.202074058056420806e-02,2.713851191307480384e-02,9.836296532582642499e-03,8.104069771906533687e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59]"
CPG,21,21,1.208368656445107609e+07,2.942941785,3.600544801,2.606838525906025171e+08,3.122899163394932821e+07,4.301055653247028589e+06,6.375191942199962547e-01,2.121834739718550522e-02,1.841633895809168453e-03,6.375191942199962547e-01,1.939631580858643817e-02,1.234073611222738899e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29]"
Angular Defect Greedy,21,21,6.321041256964343786e+07,4.826196847,5.456339595,2.606838525906025171e+08,4.139530156688521057e+07,1.560231210492811538e+07,4.778045620436223440e-02,1.326772243590858442e-02,1.186508931053816343e-02,2.580237067657682043e-02,9.483848324397029655e-03,7.903198748109288227e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11]"
CPG,22,22,1.181871271592918225e+07,3.095855193,3.825665573,2.606838525906025171e+08,3.110311989322547987e+07,3.861386967766663525e+06,6.375191942199962547e-01,2.106146757545572165e-02,1.762596968422907792e-03,6.375191942199962547e-01,1.920072538149475427e-02,9.137716365660028886e-04,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27]"
Angular Defect Greedy,22,22,6.321041256964343786e+07,5.117567273,5.821523074,2.606838525906025171e+08,4.083991389756865054e+07,1.426201814572664537e+07,4.778045620436223440e-02,1.274097953218864508e-02,1.118987542962457914e-02,2.556786510554823894e-02,8.827129898979961184e-03,6.053153955070480520e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31]"
CPG,23,23,9.180733549061322585e+06,3.249004439,4.056480195,2.606838525906025171e+08,3.092118745263091847e+07,3.556016384051765781e+06,6.375191942199962547e-01,2.078701346006405978e-02,1.698216013537360257e-03,6.375191942199962547e-01,1.885854882204541366e-02,7.707313221807219651e-04,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25]"
Angular Defect Greedy,23,23,6.321041256964343786e+07,5.409781351,6.197416743,2.606838525906025171e+08,3.954428507039394230e+07,1.263886613961467147e+07,4.778045620436223440e-02,1.188218830384465963e-02,8.903074490667954588e-03,2.476874505720020811e-02,7.756429146758890211e-03,4.126183648170577388e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38]"
CPG,24,24,8.942782160196306184e+06,3.402437136,4.291121294,2.606838525906025171e+08,3.062604380289791152e+07,2.895201797096617054e+06,6.375191942199962547e-01,2.070987447546923654e-02,1.432079052546829465e-03,6.375191942199962547e-01,1.876237554255057172e-02,6.321750789994838322e-04,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70]"
Angular Defect Greedy,24,24,6.321041246362689883e+07,5.679846642,6.555500543,2.606838525906025171e+08,3.943214997822781652e+07,1.263886612339238822e+07,4.778045620436223440e-02,1.157551825526512666e-02,8.116155216433024178e-03,2.416999742181151142e-02,7.374087268010378303e-03,3.990713904570205098e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15]"
CPG,25,25,8.865883308751296252e+06,3.565604436,4.543896815,2.606838525906025171e+08,3.051147622092987970e+07,2.725906043208051473e+06,6.375191942199962547e-01,1.951852680920100960e-02,1.347546375963664961e-03,6.375191942199962547e-01,1.727705897161876253e-02,5.691767816235613524e-04,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70, 6]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70, 6]"
Angular Defect Greedy,25,25,6.321041136436226219e+07,5.989195443,6.963533958,2.606838525906025171e+08,3.914303016592612118e+07,1.072284960963149741e+07,4.778045620436223440e-02,1.109745660066094840e-02,7.504071616803283107e-03,2.299824158262498558e-02,6.778062347984394401e-03,2.609395148291624236e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15, 23]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15, 23]"
CPG,26,26,8.831370276324033737e+06,3.728762492,4.803319069,2.606838525906025171e+08,3.039727718073410913e+07,2.602990114797432907e+06,6.375191942199962547e-01,1.923072632924795536e-02,1.318436843353440122e-03,6.375191942199962547e-01,1.691824278882014462e-02,5.676472247108230911e-04,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70, 6, 16]","[76, 38, 23, 59, 51, 12, 31, 69, 45, 41, 28, 35, 7, 18, 33, 26, 4, 15, 10, 20, 29, 27, 25, 70, 6, 16]"
Angular Defect Greedy,26,26,6.321041136436226219e+07,6.308533643,7.388699200,2.606838525906025171e+08,3.684938697062280774e+07,6.687459975851883180e+06,4.778045620436223440e-02,9.976214042018951428e-03,3.263103102975875927e-03,2.076783126909224897e-02,5.380149547599567122e-03,1.734969987207845470e-03,4.778045620436223440e-02,2.860237015098172561e-02,3.117770609150580241e-02,"[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15, 23, 45]","[2, 76, 5, 14, 3, 28, 8, 4, 41, 6, 20, 10, 7, 33, 51, 12, 25, 17, 9, 59, 11, 31, 38, 15, 23, 45]"
